ID,SYMBOL
372,ADCK1
373,ADCK2
374,COQ8A
375,COQ8B
376,ADCY1
377,ADCY10
378,ADCY10P1
379,ADCY2
380,ADCY3
381,ADCY5
382,ADCY6
383,ADCY7
384,ADCY8
385,ADCY9
386,ADCYAP1
387,ADCYAP1R1
388,ADD1
389,ADD2
390,ADD3
391,ADD3-AS1
392,ADGB
393,ADGRA1
394,ADGRA1-AS1
395,ADGRA2
396,ADGRA3
397,ADGRB1
398,ADGRB2
399,ADGRB3
400,ADGRD1
401,ADGRD2
402,ADGRE1
403,ADGRE2
404,ADGRE3
405,ADGRE4P
406,ADGRE5
407,ADGRF1
408,ADGRF2P
409,ADGRF3
410,ADGRF4
411,ADGRF5
412,ADGRF5P1
413,ADGRF5P2
414,ADGRG1
415,ADGRG2
416,ADGRG3
417,ADGRG4
418,ADGRG5
419,ADGRG6
420,ADGRG7
421,ADGRL2
422,ADGRL3
423,ADGRL3-AS1
424,ADGRL4
425,ADGRV1
426,ADH1A
427,ADH1B
428,ADH1C
429,ADH4
430,ADH5
431,ADH5P2
432,ADH5P3
433,ADH5P4
434,ADH6
435,ADH7
436,ADHFE1
437,ADIG
438,ADIPOQ
439,ADIPOQ-AS1
440,ADIPOR1
441,ADIPOR1P1
442,ADIPOR1P2
443,ADIRF
444,ADK
445,ADM
446,ADM2
447,ADM5
448,ADNP
449,ADNP-AS1
450,ADNP2
451,ADO
452,ADORA1
453,ADORA2A
454,ADORA2A-AS1
455,ADORA2B
456,ADORA2BP1
457,ADORA3
458,ADPGK
459,ADPGK-AS1
460,ADPRH
461,ADPRHL1
462,ADPRS
463,ADPRM
464,ADRA1A
465,ADRA1B
466,ADRA1D
467,ADRA2A
468,ADRA2B
469,ADRA2C
470,ADRB1
471,ADRB2
472,ADRB3
473,GRK2
474,GRK3
475,ADRM1
476,ADSL
477,ADSS2
478,ADSS1
479,ADTRP
480,AEBP1
481,AEBP2
482,AEN
483,TLE5
484,AFAP1
485,AFAP1-AS1
486,AFAP1L1
487,AFAP1L2
488,AFF1
489,AFF2
490,AFF3
491,AFF4
492,AFG3L1P
493,AFG3L2
494,AFG3L2P1
495,AFM
496,AFMID
497,AFP
498,AFTPH
499,AGA
500,AGAP1
501,AGAP1-IT1
502,AGAP10P
503,AGAP11
504,AGAP2
505,AGAP2-AS1
506,AGAP3
507,AGAP4
508,AGAP5
509,AGAP6
510,AGAP7P
511,AGAP9
512,AGBL1
513,AGBL1-AS1
514,AGBL3
515,AGBL4
516,AGBL4-IT1
517,AGBL5
518,AGBL5-AS1
519,AGFG1
520,AGFG2
521,AGGF1
522,AGGF1P1
523,AGGF1P2
524,AGGF1P3
525,AGGF1P4
526,AGKP1
527,AGL
528,AGMAT
529,AGMO
530,AGO1
531,AGO2
532,AGO3
533,AGO4
534,AGPAT2
535,AGPAT3
536,AGPAT4
537,AGPAT5P1
538,GPAT4
539,GPAT3
540,AGPS
541,AGR2
542,AGR3
543,AGRN
544,AGRP
545,AGT
546,AGTPBP1
547,AGTR1
548,AGTR2
549,AGTRAP
550,AGXT
551,AGXT2
552,AHCTF1
553,AHCTF1P1
554,AHCY
555,AHCYL1
556,AHCYL2
557,AHCYP2
558,AHCYP3
559,AHCYP4
560,AHCYP5
561,AHCYP7
562,AHDC1
563,AHI1
564,AHNAK
565,AHNAK2
566,AHR
567,AHRR
568,AHSA1
569,AHSA2P
570,AHSG
571,AHSP
572,AICDA
573,AIDA
574,AIF1L
575,AIFM1
576,AIFM1P1
577,AIFM2
578,AIFM3
579,AIG1
580,CRYBG1
581,CRYBG2
582,AIM2
583,AIMP1
584,AIMP1P1
585,AIMP1P2
586,AIMP2
587,AIP
588,AIPL1
589,AIRE
590,AIRN
591,AJAP1
592,AJUBA
593,AK1
594,AK2
595,AK2P2
596,AK3
597,AK3P3
598,AK3P4
599,AK3P5
600,AK3P6
601,AK4
602,AK4P2
603,AK4P3
604,AK4P4
605,AK4P5
606,AK4P6
607,AK5
608,AK7
609,AK8
610,AK9
611,AKAP1
612,AKAP10
613,AKAP11
614,AKAP12
615,AKAP13
616,AKAP14
617,AKAP17BP
618,AKAP3
619,AKAP4
620,AKAP5
621,AKAP6
622,AKAP7
623,AKAP8
624,AKAP8L
625,AKAP8P1
626,AKAP9
627,AKIP1
628,AKIRIN1
629,AKIRIN1P1
630,AKIRIN2
631,AKIRIN2P1
632,AKNA
633,AKNAD1
634,AKR1A1
635,AKR1B1
636,AKR1B10
637,AKR1B10P1
638,AKR1B10P2
639,AKR1B15
640,AKR1B1P1
641,AKR1B1P2
642,AKR1B1P3
643,AKR1B1P4
644,AKR1B1P5
645,AKR1B1P6
646,AKR1B1P7
647,AKR1B1P8
648,AKR1C1
649,AKR1C2
650,AKR1C3
651,AKR1C4
652,AKR1C6P
653,AKR1C7P
654,AKR1C8
655,AKR1D1
656,AKR1D1P1
657,AKR1E2
658,AKR7A2
659,AKR7A3
660,AKR7L
661,AKT1
662,AKT1S1
663,AKT2
664,AKTIP
665,ALAD
666,ALAS1
667,ALAS2
668,ALB
669,ALCAM
670,ALDH16A1
671,ALDH18A1
672,ALDH1A1
673,ALDH1A2
674,ALDH1A3
675,ALDH1B1
676,ALDH1L1
677,ALDH1L1-AS1
678,ALDH1L1-AS2
679,ALDH1L2
680,ALDH2
681,ALDH3A1
682,ALDH3A2
683,ALDH3B1
684,ALDH3B2
685,ALDH4A1
686,ALDH5A1
687,ALDH6A1
688,ALDH7A1
689,ALDH7A1P1
690,ALDH7A1P2
691,ALDH7A1P3
692,ALDH7A1P4
693,ALDH8A1
694,ALDH9A1
695,ALDOA
696,ALDOAP1
697,ALDOAP2
698,ALDOB
699,ALDOC
700,ALG1
701,ALG10
702,ALG10B
703,ALG11
704,ALG12
705,ALG13
706,ALG14
707,ALG1L1P
708,ALG1L12P
709,ALG1L14P
710,ALG1L15P
711,ALG1L2
712,ALG1L3P
713,ALG1L5P
714,ALG1L7P
715,ALG1L8P
716,ALG1L9P
717,ALG2
718,ALG3
719,ALG3P1
720,ALG5
721,ALG6
722,ALG8
723,ALG9
724,ALK
725,ALKBH1
726,ALKBH2
727,ALKBH3
728,ALKBH3-AS1
729,ALKBH4
730,ALKBH5
731,ALKBH6
732,ALKBH7
733,ALKBH8
734,ALLC
735,ALMS1
736,ALOX12
737,ALOX12-AS1
738,ALOX12B
739,ALOX12P1
740,ALOX12P2
741,ALOX15
742,ALOX15B
743,ALOX15P1
744,ALOX15P2
745,ALOX5AP
746,ALOXE3
747,ALOXE3P1
748,ALPI
749,ALPK1
750,ALPK2
751,ALPK3
752,ALPL
753,ALPP
754,ALPG
755,ALS2
756,ALS2CL
757,C2CD6
758,FLACC1
759,ALX1
760,ALX3
761,ALX4
762,ALYREF
763,AMACR
764,AMBN
765,AMBP
766,AMBRA1
767,AMD1
768,AMD1P1
769,AMDHD1
770,AMDHD2
771,AMELX
772,AMELY
773,AMER1
774,AMER2
775,AMER3
776,AMFR
777,AMH
778,AMHR2
779,JAML
780,AMIGO1
781,AMIGO2
782,AMIGO3
783,AMMECR1
784,AMMECR1L
785,AMMECR1LP1
786,AMN
787,AMN1
788,AMOT
789,AMOTL1
790,AMOTL2
791,AMPD1
792,AMPD2
793,AMPD3
794,AMPH
795,AMT
796,AMTN
797,AMY1A
798,AMY1B
799,AMY1C
800,AMY2A
801,AMY2B
802,AMYP1
803,AMZ1
804,AMZ2
805,AMZ2P1
806,AMZ2P2
807,ANAPC1
808,ANAPC10
809,ANAPC10P1
810,ANAPC11
811,ANAPC13
812,ANAPC15
813,ANAPC16
814,ANAPC1P1
815,ANAPC2
816,ANAPC4
817,ANAPC5
818,ANAPC7
819,ANG
820,ANGEL1
821,ANGEL2
822,ANGPT1
823,ANGPT2
824,ANGPT4
825,ANGPTL1
826,ANGPTL2
827,ANGPTL3
828,ANGPTL4
829,ANGPTL5
830,ANGPTL6
831,ANGPTL7
832,ANHX
833,ANK1
834,ANK2
835,ANK3
836,ANKAR
837,ANKDD1A
838,ANKDD1B
839,ANKEF1
840,ANKFN1
841,ANKFY1
842,ANKH
843,ANKHD1
844,ANKHD1-EIF4EBP3
845,ANKIB1
846,ANKK1
847,ANKLE1
848,ANKLE2
849,ANKMY1
850,ANKMY2
851,ANKRA2
852,ANKRD1
853,ANKRD10
854,ANKRD11
855,ANKRD12
856,ANKRD13A
857,ANKRD13B
858,ANKRD13C
859,ANKRD13D
860,ANKRD16
861,ANKRD17
862,ANKRD18A
863,ANKRD18B
864,ANKRD18EP
865,ANKRD19P
866,ANKRD2
867,ANKRD20A1
868,ANKRD20A10P
869,ANKRD20A11P
870,ANKRD20A17P
871,ANKRD20A18P
872,ANKRD20A19P
873,ANKRD20A2P
874,ANKRD20A3P
875,ANKRD20A4P
876,ANKRD20A5P
877,ANKRD20A6P
878,ANKRD20A7P
879,ANKRD20A8P
880,ANKRD22
881,ANKRD23
882,ANKRD24
883,ANKRD26
884,ANKRD26P1
885,ANKRD26P2
886,ANKRD26P3
